# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
27995100000,10,120,1584,9864,17.607483,0.755860,78.543539,69.662032,21.077914,3.220839,16
28202280000,11,121,1530,9958,18.153067,0.781462,96.109219,69.852369,204.834526,3.180208,16
28513230000,8,122,1269,10054,17.485755,0.946309,61.257162,57.718744,20.795346,3.522927,17
28722280000,9,123,1263,10106,16.604820,0.791036,56.666934,62.053097,105.493991,3.362726,17
29031560000,10,124,1182,10071,16.569823,0.734515,49.371174,50.055165,131.798419,2.880265,17
29238910000,11,125,1093,10059,16.127708,0.691450,69.608874,61.416004,23.001843,3.320316,17
29446140000,2,126,1071,10373,15.406233,0.650696,83.636116,33.597113,0.000000,0.000000,0
29549760000,12,127,1145,10146,19.861877,0.556959,74.541817,56.921837,107.243061,2.827398,18
29757120000,14,128,1297,10316,20.132124,0.581037,73.248917,63.822673,19.211113,3.030080,17
29964620000,12,129,1471,10552,19.933349,0.739573,82.283713,77.415788,236.972605,3.225561,20
30275700000,9,130,1364,10780,18.667166,0.833087,48.365769,70.215611,106.066491,4.311586,24
30586670000,10,131,1445,10798,18.288278,0.907847,37.368398,73.335765,106.738102,4.421011,24
30897640000,12,132,1485,10923,17.861532,1.055393,49.324573,69.745242,138.445112,5.314435,23
31208610000,10,133,1397,10934,16.484671,1.089660,51.344967,61.208809,100.357360,2.959331,26
31520060000,11,134,1347,10950,16.397687,1.193567,63.109450,58.597117,80.579329,4.837446,26
31830690000,11,135,1336,11031,29.304638,0.867368,54.378863,56.178435,173.786442,3.380004,27
32038040000,12,136,1356,11054,24.346909,0.762894,66.085384,68.911512,21.938670,3.725713,27
32245260000,12,137,1409,11148,21.979386,0.754010,69.182377,61.157628,129.708233,3.146669,28
32452660000,13,138,1439,11260,20.599712,0.690217,71.599772,76.091640,196.275268,2.987666,28
32763730000,11,139,1424,11402,19.805001,0.847818,72.083965,82.439181,184.537516,3.047555,30
